age,gender,height_cm,weight_kg,sit and bend forward_cm,sit-ups counts,class
56,M,173,70.9,11.1,44,B
46,F,159.1,52.2,17.9,30,D
44,M,180.5,79.5,10.8,33,C
25,F,162.2,71.5,7,5,D
25,F,156.3,48.6,29.8,41,A
59,M,170,59.1,8.6,15,D
30,M,178.4,82.5,1.9,42,D
24,M,176,67.2,17.2,55,A
39,M,168.8,70.9,5.4,33,D
27,M,170.3,74.6,14.5,53,B
33,M,172.8,78.8,19.7,59,A
28,F,163.6,52.4,23.5,23,C
28,F,166.2,59.7,15.6,38,B
35,M,179.2,64.7,22.5,46,A
34,M,177.8,76.4,5.3,38,C
35,M,184.7,84.18,15.3,56,A
34,M,173.2,73.77,18.1,59,B
25,M,164.3,61.18,18.6,47,C
32,M,169.2,68.7,21.1,64,B
21,F,169.1,56.1,31.3,24,C
22,M,183.5,76.9,22.8,56,A
22,F,156.9,46.9,16.5,38,B
24,M,172.1,64.5,21.7,63,B
27,M,178.2,75.1,16.7,55,A
21,F,164.4,48.1,29.4,41,A
46,F,164.1,49.1,4.3,16,D
29,F,162.2,51.7,23.7,44,A
23,F,162.7,51.7,21.4,59,D
51,M,177.9,67.2,13.7,25,D
28,M,184.8,84.6,11.7,56,B
23,F,164.7,44.3,12.5,25,C
30,M,178.3,93.5,16.1,47,A
25,F,160.1,51.7,21.1,47,A
28,M,172.7,69.8,10,48,C
22,M,178.3,73.2,11.7,46,C
51,M,167.7,72.7,6.1,37,D
24,F,165.1,49.9,21.6,50,A
27,F,160.3,47.8,28,37,A
61,F,153.2,62.2,3,0,D
30,M,169.5,71.9,13,66,B
42,M,180.2,73.3,26,41,C
22,M,180.3,91.7,-6.9,36,D
23,F,164.7,62.5,14.7,41,C
27,F,160.2,54.5,22.5,35,C
29,M,167.9,70.7,16.2,53,B
62,M,165.6,67.6,9.8,41,B
21,M,169.2,92.9,10.9,52,D
25,M,184.1,74.7,13,49,C
31,F,166.9,64.1,21.5,37,B
21,M,175,66.4,13,54,C
38,M,171.6,66.3,26.2,46,B
23,F,178.1,64.2,14.6,27,C
56,M,170.1,61.5,20.5,40,A
59,M,170.3,71,22,33,D
23,F,164.4,54.3,31.7,44,A
52,M,170,75.5,10.2,29,D
33,M,178,74.66,18.6,37,C
58,F,154.9,51.6,19.4,31,B
21,F,160.9,61.4,20.8,47,C
27,M,176,72.86,10.1,53,B
27,M,173.5,65.3,12.1,46,C
21,F,163,62.3,12.2,44,C
57,M,168.5,66,9.5,30,B
29,F,166.7,52.84,29.7,48,A
45,M,170,70,8.5,36,D
24,F,155.5,64.4,16.7,43,B
50,F,163.9,52.5,18,26,B
60,M,173,68.4,12.3,52,A
62,M,163.7,63.9,25,29,B
39,F,159.2,45.3,18.7,36,B
22,F,162.2,60.4,22.6,37,A
54,F,156.5,52.2,13.5,16,C
48,M,167.2,68.5,7,31,C
61,F,160.9,63.1,21.1,27,A
60,M,172.5,76,16,41,A
27,M,168.6,67.2,11.6,41,C
40,F,162.5,51.4,26.3,36,A
36,M,172.1,65.64,15.4,39,B
58,M,168.5,74.9,15.8,29,B
55,F,152.8,55.6,15.7,23,C
25,F,158.1,57.9,13.7,59,C
21,M,169.6,64.5,21.5,65,A
23,F,163.8,57.5,28.8,43,A
64,M,165.8,61.3,7.6,33,B
21,M,187.4,84.4,16.8,49,B
56,F,149.4,51.6,18.8,11,C
22,M,167.3,61.4,19.9,67,A
28,F,165.4,62,21.7,31,C
53,F,152.7,46.9,18.5,20,B
23,M,165.7,62.7,25.5,35,D
46,M,176.8,80.9,22.1,45,A
56,F,148.2,54.7,10.7,0,D
44,M,172,71,28.7,52,A
27,M,173.8,68.4,14.1,49,B
45,M,166.5,71.5,24.2,47,A
63,M,164.7,73.8,9,22,D
26,M,183.4,83.6,16,51,A
32,M,170.8,72.2,16.6,60,B
22,F,167,50.3,23.3,39,A
21,M,175,84.7,11.6,42,D
21,M,178.9,75.5,15.4,55,B
54,F,148,53.4,23,35,A
21,M,179,82.8,19.9,56,B
24,M,163.9,64.8,13.2,47,C
31,M,178,84.66,15.1,47,A
27,M,180.9,77.1,22,52,B
22,F,163.8,54.2,19.4,41,B
61,F,152.6,56.4,20.2,4,D
60,M,171.9,60.9,10.9,28,B
41,F,160,50,22.6,38,A
59,M,166.1,67.8,22.4,34,B
51,M,174.5,71.2,13,41,C
34,M,181.1,70.5,12.7,40,C
22,F,169.2,53.2,27.1,54,A
22,F,162.1,55.1,23.1,43,A
23,F,161.8,47.8,21.5,47,A
27,F,152.3,55.5,16.1,37,D
25,F,160.9,63.7,23.6,37,B
37,F,149.5,38.1,23,35,A
21,M,170,50.1,6.4,44,C
31,M,174,67.6,5.1,38,C
49,M,176.2,73.3,9.9,33,C
27,M,182.5,81,9.1,44,C
49,F,155.9,57,17.5,25,C
36,F,156.6,55,12.5,24,C
33,M,179.2,76.3,8.7,36,D
61,F,146.5,56.16,23.5,12,B
24,F,166.9,70,23.8,47,A
25,M,168.8,63.9,20.1,49,B
28,F,161.4,55.9,18.1,30,B
26,F,162.6,57.2,20.6,43,A
62,M,175,68,2.8,33,C
51,M,172.4,75.6,22.4,55,A
26,M,180.2,103.4,16.2,46,B
21,F,160.7,56.6,30.1,32,B
56,F,149,46.7,28,41,A
52,M,165.4,74.8,18.2,56,B
21,F,169.2,64.9,22.3,39,B
56,F,157.2,60.4,14.3,16,C
36,M,169.9,67.1,16.3,59,B
32,F,163.5,55.6,24.5,36,A
21,F,159.9,49.7,24.3,11,D
63,M,165.8,63.9,14.2,28,B
32,M,168,69.8,26.3,68,A
28,M,175.1,75.5,11.4,66,B
40,M,169.8,84.1,19.8,40,B
26,F,158.8,56.9,20.8,37,B
56,F,156.9,49.9,1.2,20,D
22,M,168.4,69.9,16.3,61,A
29,M,172.7,72.6,3.3,40,D
61,M,171.6,86.4,-2.4,12,D
54,F,162.9,51.4,20.5,24,C
56,M,168.8,66.4,20.2,35,C
36,M,173,72.7,7.8,46,C
24,M,167.5,65.66,18.3,44,C
59,F,145.7,51.6,20.1,12,C
23,F,158.2,47.9,10.9,26,C
41,M,179.3,73.4,17.3,47,B
35,M,169.9,61.7,14.3,37,C
30,M,163.7,65.5,14.5,42,B
44,F,167.8,63.8,14.8,43,C
28,M,170,74,6,50,D
22,M,169.5,65,16.2,40,D
21,M,187.9,74.7,7.7,45,C
53,M,170,75.1,7.4,29,D
21,F,158.4,48.9,21.4,41,A
63,F,157.6,58.2,17.9,27,B
23,F,161.1,53,-4.4,22,D
62,M,174.7,71.9,16.6,40,A
32,M,179.7,90,1.5,50,D
38,M,172.3,71.6,6.2,47,C
24,M,180.3,80.2,19,57,A
23,M,183.3,79.4,23,48,C
63,M,172.4,71.66,15.8,38,A
27,M,178.8,73.38,21.5,54,A
59,F,158.2,54.34,28.6,42,A
36,F,166.5,53.7,18.9,40,A
34,F,167.5,65.8,20.5,50,B
23,M,180.4,90.5,4.5,42,D
21,F,158.8,49.7,24.2,28,D
24,M,177,89.9,12.7,54,C
55,M,170,75.5,12.5,40,B
43,M,169,68.6,20.2,55,A
22,F,159.3,54,27.2,33,B
46,M,173.9,69.4,14.5,46,A
24,M,176,77.5,9.3,38,D
56,F,164,57.6,23.6,27,A
28,M,171.4,76.8,23,41,D
53,F,160.4,59.3,-5,13,D
30,M,179.2,76.5,16.7,50,A
21,F,153,56.9,19.4,22,D
59,F,162,65.3,16.5,11,C
27,F,164.6,56.9,19.9,51,A
38,M,179.9,82.2,20,61,B
41,M,167.9,72.4,23.3,60,B
21,F,168.4,60.2,16.8,32,B
23,F,163.7,53.4,28,43,C
21,F,166.3,47.6,10.1,42,C
63,M,160.5,68.2,14.3,31,A
22,M,182.9,72.4,11.2,45,C
28,M,170.3,52.5,16.5,25,D
25,F,154,57.9,18.7,36,C
39,M,176.9,90.1,9.3,45,C
22,M,180.6,80,20.4,49,C
30,M,170.2,62.9,27.8,65,A
30,M,185.2,108.9,27.7,52,D
24,F,162.8,59.7,21.1,47,B
64,M,163.8,68.5,18.8,26,B
22,F,166,68.8,27.8,38,A
64,F,155.5,60,12.8,20,D
26,M,170.1,67.1,15.4,51,B
39,F,159.3,50.6,19.6,32,A
50,M,165.2,67,13.3,38,B
45,F,159.2,59.1,21.7,35,A
52,F,150.3,49.1,19.5,16,D
25,M,184,75.7,21.8,58,A
25,M,175.3,63.7,11.5,55,B
35,M,177.3,82.7,12.1,51,B
63,M,169.4,76.1,17.3,28,B
31,M,167,71.1,14.6,53,A
42,F,158.1,51,20.3,30,B
25,F,158.6,46.2,19.6,21,C
24,F,156.1,49.4,23.8,38,C
22,M,175.1,67.5,24.9,60,C
26,M,172.9,83.3,9.2,44,D
22,F,166,54.9,21.5,46,C
46,M,168,58.7,17.4,38,C
37,M,181.2,86,21.3,44,B
28,M,170,84.2,23.5,51,C
24,M,176.1,74.8,-12,1,D
27,M,170,75.9,-6.6,49,D
28,M,171,74.6,8,52,D
23,F,163.5,58.5,26.8,39,C
39,M,170.8,68.9,7.4,52,C
55,F,154.6,58.9,18.5,27,B
41,M,176.2,93.1,7.1,1,D
36,F,165.8,55.78,23.9,30,B
29,M,172.7,71.8,19.7,57,A
35,M,173.1,77.6,16.7,47,B
41,M,177,81.7,7.8,39,C
23,F,161.8,58.7,10.3,44,C
22,M,175.8,73.3,7.2,43,C
52,F,159.5,55.2,15,16,C
63,F,175.1,81.2,24.4,36,D
64,M,159.3,56.5,-1.4,16,D
41,M,175.7,81.2,14.3,42,B
22,F,158.5,49.3,21,59,B
21,F,170.5,67.8,9.8,39,D
44,M,177.4,87.9,5.2,28,D
50,F,157.3,51.1,20.5,33,A
26,M,180.8,69.26,1.5,53,D
53,M,167,65.7,14.2,32,C
29,M,185,85.8,17.2,55,B
47,M,177.7,87.7,12.2,44,D
25,M,179.4,74.3,20.9,58,A
40,F,159.1,50.4,25.7,32,A
51,F,161.2,47.8,14.1,29,C
40,F,163.3,47.7,27.6,32,A
27,F,169.8,64.9,12.3,49,C
24,M,179.4,78.1,-13.1,37,D
28,M,171.4,68.3,12.3,52,C
43,M,174.6,104.9,-1.3,22,D
54,M,176,68.9,10.5,44,B
23,F,167.2,54.8,19.5,39,C
28,M,175.4,69.9,23.8,58,B
29,M,170,66,6,38,C
54,M,163,75.5,3.3,42,D
23,M,178.6,83.9,16.6,43,C
35,F,158.3,70.1,21.4,41,D
29,F,161.4,61.8,18.7,41,B
37,M,174.1,80.2,-7.7,40,D
29,M,178.8,72.9,8.1,51,C
45,M,160,59.3,11.5,40,B
22,F,159.1,51.3,7.9,24,D
47,M,174.3,78.1,16.8,52,C
44,M,176.9,85.2,2.9,44,D
26,F,161.9,53.9,26,40,A
32,M,165.9,74.8,17.1,54,A
48,F,161.5,49.4,11,37,C
56,M,162.3,56.68,9,23,D
26,M,180.6,73.4,11.2,44,D
22,M,177.1,71.4,11.6,57,B
43,F,166.2,51.8,15.8,40,B
37,F,170,63,20.4,35,A
33,F,162.7,53.9,30.4,42,A
48,M,168.6,71,7,39,C
22,M,175.8,66.6,2.9,52,D
27,M,173.9,79,0.2,39,D
38,M,171.4,71.7,21.3,54,A
62,M,164.5,64.02,13,26,B
31,M,176.5,69.3,10.6,58,B
22,M,175,69.8,26.8,60,A
29,M,179,79.1,10.3,46,B
22,M,170,73.6,7,57,C
50,F,153.9,43.8,18.5,19,B
32,M,176.3,71.8,15.4,45,B
46,M,163.5,71.1,14.9,35,D
31,M,178,78.2,11.9,48,B
22,M,179.6,70,16.7,51,B
28,M,176.2,83.7,7.8,46,C
31,M,173.7,83.8,27.5,60,D
59,M,165.7,57.6,13.5,41,A
34,F,162.1,79.3,20.1,13,D
37,M,170.8,60.5,14.1,35,C
64,F,153.2,50.1,26,21,B
63,F,147.4,52.1,20.2,23,C
25,F,160,53.1,34.8,33,C
57,F,159.2,68.6,20.6,0,D
41,M,177.1,74.9,17.8,50,A
27,M,179.5,87,7.1,57,C
48,M,166.9,69.5,11.9,43,B
26,F,157.6,50.1,22,52,A
30,M,179.5,90.8,21.3,51,A
34,M,175,71,20.5,57,B
23,M,182.7,67.6,-11,39,D
30,M,185,77.9,15.6,44,C
25,M,175,72.6,21.2,58,B
25,M,174.3,79.68,28.5,38,C
35,M,184.6,79,6.7,45,C
54,F,162.4,56.2,16.6,19,B
50,F,154.6,53.2,20.2,23,B
21,M,175.1,103.6,-14.3,20,D
64,F,163.6,55.2,20.9,29,A
24,M,173.6,71.2,9.4,53,C
39,F,167.8,65.7,23.8,43,B
21,M,183,80.1,21,52,C
27,M,165.8,73.8,6,39,D
36,M,166.7,74.1,22.9,59,A
23,F,162.7,63.9,27.3,30,C
24,F,164.8,52,24.7,42,B
62,F,162.4,68.1,12.5,18,C
39,F,161.5,52,22.5,20,C
62,F,155,50.7,28.3,11,C
22,F,154.8,59.3,10.1,48,C
64,F,158,62.3,21.2,7,D
22,M,172.1,80.2,5.9,61,D
22,M,172.9,76.3,13.9,49,C
24,F,165.2,53.7,23.3,45,C
43,M,171.3,65.76,13.4,50,C
25,M,176.4,70.4,7.5,31,D
36,F,156.1,48.9,24.5,30,C
49,M,181.9,73.4,-7,36,D
54,F,150.9,54.4,24.7,21,B
56,M,173.7,76.3,16.5,38,A
24,M,179.3,86.4,16.1,49,D
46,M,176.1,69.2,16.3,42,A
24,F,160,51.8,10.2,24,C
21,M,174.8,78.7,12.5,58,C
21,F,160.8,48.9,17,47,B
25,F,168.1,57.5,19.8,30,B
21,M,169.5,61.6,19.3,64,C
51,M,169,69,12.8,27,C
21,M,175.8,66.26,14.6,42,C
21,M,171.6,72.5,-3,33,D
44,F,157.6,46.8,15.6,15,D
62,F,153.3,54.9,25,19,B
63,M,174.4,71.8,6.7,30,C
38,F,163.1,61,21.8,37,A
38,F,166.2,60.4,26.6,28,B
52,M,163.4,61.3,19.5,51,A
31,M,177.8,89.3,9.5,35,C
54,F,157.1,66.2,17.4,27,B
24,M,170.6,69.9,23.9,60,A
28,M,174.5,69.4,19.5,53,D
35,M,171.5,76.2,18.4,55,C
25,M,171.4,69.4,19,45,B
32,M,164,65.8,4.8,37,C
27,F,160.4,55.68,24.5,64,A
63,M,166.8,58.4,10.4,30,C
26,M,167.3,63.3,18.1,56,B
28,M,167.8,65.5,16.2,40,C
35,F,159.4,55.7,21.8,30,C
56,M,171.4,75,18.7,36,A
24,F,166.6,66,22,40,B
42,M,181.6,79.6,7.6,43,C
27,M,180,92.6,3.2,40,D
46,M,172.5,78.7,9.1,38,B
28,M,173.3,70.8,11.6,53,C
48,M,175.3,96.7,-8.7,26,D
28,M,171.6,62.2,11.4,39,C
37,M,169.3,73.84,15.6,45,D
35,M,168.1,67.1,14.5,44,B
37,M,170,83.6,25.3,57,B
28,F,167,60.5,20.8,47,A
30,M,171.5,70.7,16.1,66,A
50,M,167.8,76.1,13.9,50,A
22,F,167.4,66.2,11.2,38,C
46,M,170,77.1,8.4,31,C
31,F,165.1,55.1,0,27,D
54,F,164.6,67.1,23.6,37,A
36,F,155.4,49.9,20.8,32,A
37,M,171.9,96.6,14.4,18,D
37,M,172,73.1,14.3,38,C
21,M,183.5,88.7,-5.3,26,D
62,F,152.7,59.8,20.7,19,D
47,F,153.5,54.4,18.1,31,C
24,F,160.4,58.7,22.1,54,A
26,M,174.8,81.8,23.2,48,B
29,F,161.1,55.9,16,3,D
60,F,155.1,52.2,24,30,B
45,M,174.5,87.7,3.3,35,D
61,F,164.7,82.3,15.2,0,D
63,M,163.9,57.6,15.9,33,A
22,F,152.9,45,22.4,46,A
21,M,185.9,69.5,13.4,54,B
32,M,177.3,77.5,22.3,58,A
26,F,164.5,63.2,18.6,41,A
22,M,179.3,75.1,6.3,53,C
28,F,159.5,48.8,24,43,A
28,F,160.6,53.3,19,52,A
30,F,167.2,61,20.5,41,A
26,F,159.3,49,21.1,54,B
63,F,156.9,55.9,6,4,D
22,F,164.2,47.4,22.4,44,B
23,M,173,66.8,18.5,63,A
42,M,172.2,70.9,17.5,44,B
24,M,172,70.6,7.8,59,C
33,M,186.8,117.5,19.3,49,D
34,M,170.6,71.7,25.4,65,A
24,F,168.2,54,27.5,39,B
22,F,164.3,59.44,14.4,45,C
33,F,154,54.7,18.3,28,D
60,M,165.5,74.2,7.4,27,B
25,M,171,77.4,17.4,49,B
27,M,182,80.8,-1.6,52,D
26,M,177,79,21.2,58,B
56,F,159.5,50,25.7,25,A
63,M,159.3,64.6,8.1,23,C
22,M,169.3,62.3,3.7,42,D
24,F,160.7,58.2,21.5,31,B
38,M,173.5,77.7,13.1,39,B
54,M,171.5,72.9,26.2,29,C
25,M,182,93.5,21.2,47,C
59,F,148.2,53.3,14,9,D
22,F,163.2,52.4,29.1,40,A
24,F,167.9,55.9,9.8,21,D
24,F,164.9,55.4,24.6,47,A
22,M,175.6,96.4,-0.4,34,D
55,F,161,61.9,16.3,13,C
46,F,163,63.8,-4,0,D
22,F,168.6,71,30.6,30,B
26,F,162.1,56.9,24.2,37,B
29,M,166.8,69.2,10,35,D
46,M,167.2,71.1,9.1,28,D
61,M,161.1,66.1,4,37,D
21,M,173.7,73,2.2,35,D
32,F,151.2,52.4,19.7,33,A
27,M,171.8,74.8,15.1,45,B
22,M,179.4,70.5,22.2,51,B
58,M,177.7,73.9,12.7,31,B
26,M,172.3,65.9,11.7,50,B
21,F,164.2,64,19.9,47,A
59,M,169.4,75.9,15.9,27,C
24,F,173.3,65.3,8.4,13,D
45,M,168,62,20.2,54,A
22,M,179.4,78.6,18.2,56,A
35,M,191.6,125.7,9.2,52,D
28,M,169.1,64,12,49,B
29,F,158.4,57.22,26.1,43,B
60,M,169.7,73.9,11.1,35,B
22,M,184.9,73.9,18.2,67,A
21,F,172.8,54.8,18.8,39,C
37,M,173.4,70,6.8,39,C
35,F,154,47.6,24.5,34,A
26,F,170,58.9,25,37,A
57,F,161.3,59.8,15.3,7,D
29,M,177.9,65.2,18.6,53,B
35,M,181.5,98.5,18,56,A
38,M,167.7,67.9,20.9,57,B
28,M,164.3,63.2,5.3,43,D
63,M,167.4,59.8,11.7,19,C
47,M,167.8,68.8,22.4,60,A
57,M,168.2,74.5,5.8,35,C
30,M,180,85.08,26.4,57,A
35,M,164.6,66,27.3,46,B
24,M,165.7,63.5,19.1,36,D
28,F,158.6,45.8,18.3,29,B
59,M,174.5,72.4,15.8,39,B
42,M,172.1,65.74,3.7,26,D
45,M,164.7,56.1,14.5,48,A
51,F,163.3,55,16.4,25,B
39,F,162.1,45,19.6,27,B
40,M,169.5,75.6,19.1,28,D
25,F,163.5,56.18,12.8,27,C
58,F,155.6,82,5.1,12,D
29,M,181.2,94.72,16.6,53,A
24,M,172.1,72.4,7.7,57,D
58,M,167.5,65.5,9.7,34,B
38,F,156.3,44.9,-2.7,23,D
62,M,172.1,71.52,3,42,C
35,F,156.4,48.5,28.6,38,A
31,F,159.3,47.9,25.4,57,A
51,M,163.5,53.8,16.3,44,A
24,M,174.9,75.1,15,44,C
30,M,175.2,71.5,18.1,47,A
36,M,172.5,80.8,17.5,55,B
36,F,158.5,53.56,19.1,43,A
26,F,160,62.4,21.9,42,A
39,M,175.5,88.1,27.3,37,D
28,M,169.1,70.8,12.3,38,C
31,M,175.1,76.2,17.9,48,A
32,M,167.1,69.5,8.6,42,C
21,F,153.9,58.8,19.2,45,B
60,M,164.3,74,16,28,B
23,M,172.8,76.4,14.5,58,C
21,M,186.4,92.5,24.9,71,C
45,F,164,51.7,-14.3,12,D
31,M,168.5,68.2,23.6,54,A
31,M,168.4,63.38,17.5,51,A
26,M,169.9,95.5,11.9,30,D
43,F,162.7,51.1,17.1,20,C
28,F,168.6,60.2,18.9,32,C
21,M,157.5,45.5,4.6,41,D
26,M,170.3,64.6,2.1,53,D
21,F,168.2,77.9,17.5,48,C
21,M,169.3,71.1,17.1,58,C
37,M,172.1,72.5,16.8,31,D
61,M,167.2,69.7,2.3,32,C
29,F,160.7,49.24,19.4,44,A
59,F,163.3,62.54,22.5,34,A
21,M,173,70.3,15.4,54,B
21,M,171,67.3,22.5,57,A
26,M,176,80.5,20.2,61,A
31,M,166.9,73.6,17.3,53,A
25,F,158.1,56.3,6.1,19,D
23,F,166,55.8,21,38,B
36,M,170.4,66,19.7,55,A
25,F,163.8,54.2,19.3,35,A
44,M,185.6,87.1,14.2,41,B
34,M,158.3,64.1,18.5,47,D
64,M,160.5,67.9,6.5,27,D
23,F,158.7,67.2,15.9,32,B
42,F,165.4,65.9,26.2,50,A
28,F,159.6,50.8,17.6,36,B
22,M,176.5,69.88,16.9,50,B
61,M,167.4,57.1,3.4,33,C
22,M,166,76.1,17.8,61,A
32,M,163.5,70.4,15.7,46,D
56,F,158.6,59.74,22,20,B
25,M,170.7,66.8,20.2,56,A
21,M,185.8,83.6,-6.2,59,D
23,F,152.7,48.08,21,41,A
28,F,153.6,54.7,16,38,C
23,M,172,72,1.8,45,D
45,F,155.9,58.2,18.6,19,C
60,M,172.5,73.9,13.5,36,B
33,M,168.7,62.3,-6.9,28,D
53,M,170.4,68.8,13.2,47,B
22,M,169,73.8,12.7,63,C
45,M,167.4,82.9,2.8,17,D
31,M,185.3,93.14,14.5,51,C
25,M,185,88.1,5.3,45,C
39,M,169.9,62.7,24.8,57,C
22,F,163.3,57.2,12.9,30,C
26,M,181.9,87.3,5.8,49,C
35,F,151.7,44.1,15.2,21,C
28,M,180.1,75.4,9,58,C
39,M,184.4,85.7,13.7,46,D
29,M,171.5,75.36,21.9,51,D
40,M,180.1,82.4,20,50,A
46,M,168.4,75,16.4,41,B
29,F,159.6,61.9,20.3,27,C
26,M,165.9,68.7,24.5,68,A
36,M,176.7,72.7,14.4,48,A
27,F,174.4,64.4,21.5,45,A
36,M,168,83.5,13,61,B
24,F,161.7,50,15.5,20,D
26,F,163.5,52,25.5,40,A
23,F,175.1,70.8,24.4,40,C
48,F,153,51.7,16.4,24,C
56,M,162.7,74.8,3.9,24,D
23,M,179,78.6,16.5,64,C
44,M,167.1,59.9,14.9,42,B
21,F,163.3,45.3,1.2,18,D
42,M,174.7,76.2,23.4,34,D
52,F,159,59.5,23,32,B
26,M,171.1,72.7,7.2,41,C
29,M,184.3,89.5,21.7,54,B
21,F,163.4,55.92,31.5,43,A
60,F,162.6,63.2,16.2,11,C
25,F,163.5,54.5,25.4,41,A
23,M,162.6,63.8,5.2,45,D
24,F,163.7,61,7.9,0,D
53,M,180.8,78,0.1,22,D
51,F,159.6,79.9,11.1,14,D
37,F,163.9,67,6,24,D
37,F,155,71.1,6.7,22,D
37,M,172.6,78.26,6.6,28,D
23,M,175.2,70.8,11,44,C
61,F,153.3,52.3,16.8,10,C
50,M,167.8,69.6,14.8,58,A
38,F,170.6,62.8,19.1,21,C
35,M,179,79,29.3,62,A
26,F,154.5,60.4,22.3,28,B
25,M,172.5,62.4,18.7,53,A
62,M,176.5,70.9,3.6,28,C
34,F,159.4,69.2,22.4,31,B
32,F,153.6,49.4,24.8,33,C
27,F,166.3,52.3,20.5,43,B
33,M,169.3,71.1,17.2,52,C
30,M,172.9,82.7,-7.5,28,D
56,M,168.9,72.28,16.8,36,A
29,M,187,85.3,17,59,A
36,M,167.9,65.5,21.7,57,A
47,F,158.2,55.9,6.3,19,D
64,F,153.3,66.3,21.3,29,A
55,M,172.9,67.5,8,32,C
27,F,151.5,49.8,18.7,37,A
38,F,166.6,64.6,23.6,42,A
24,M,174.8,72.4,17.5,52,B
41,F,165.2,67.5,19.9,35,C
58,F,157.8,57.6,19.8,19,B
28,M,178,82.2,23.6,36,D
23,F,163.1,55.2,12.8,23,C
58,M,168.7,76.1,2,0,D
21,F,158,52.4,27.1,34,C
34,M,171.1,68.4,18.7,52,A
50,M,177.8,86.3,11.3,27,D
62,F,149.1,60,17.4,20,B
27,M,174.5,76.8,16,58,A
52,M,145.8,58.6,13.2,10,D
44,F,155,62,26.5,19,D
23,F,168.8,59.3,24.2,39,A
59,M,170.8,72.3,11,29,B
24,M,181.4,86.8,18,46,C
28,M,178,83.46,25.3,55,A
